,INTERSECTION,VIOLATIONS,LATITUDE,LONGITUDE,SCALE,geometry,TEXT,NORMALIZED
0,111TH-HALSTED,17919,41.692355,-87.642377,179.19,POINT (-87.642377 41.692355),111TH-HALSTED: 17919 total violations,0.1767704077545462
1,115TH-HALSTED,16979,41.99819,-87.660545,169.79,POINT (-87.660545 41.99819),115TH-HALSTED: 16979 total violations,0.1673576063446287
2,119TH-HALSTED,15337,,,153.37,POINT (nan nan),119TH-HALSTED: 15337 total violations,0.15091524473283666
3,31ST-CALIFORNIA,1053,41.83028,-87.68503299999999,10.53,POINT (-87.68503299999999 41.83028),31ST-CALIFORNIA: 1053 total violations,0.007880717776175598
4,35TH-WESTERN,10733,41.960632000000004,-87.754476,107.33,POINT (-87.754476 41.960632),35TH-WESTERN: 10733 total violations,0.10481254506128335
5,47TH-WESTERN,13029,41.924106,-87.756147,130.29,POINT (-87.756147 41.924106),47TH-WESTERN: 13029 total violations,0.12780381318593287
6,55TH-KEDZIE,6173,41.909886,-87.72633,61.73,POINT (-87.72633 41.909886),55TH-KEDZIE: 6173 total violations,0.05915044460466234
7,55TH-PULASKI,7322,41.807623,-87.743153,73.22,POINT (-87.74315300000001 41.807623),55TH-PULASKI: 7322 total violations,0.07065609228550829
8,55TH-WESTERN,18846,41.8857,-87.637,188.46,POINT (-87.637 41.8857),55TH-WESTERN: 18846 total violations,0.1860530321236882
9,63RD-STATE,25920,,,259.2,POINT (nan nan),63RD-STATE: 25920 total violations,0.2568893695425779
10,71ST-ASHLAND,12107,41.721214,-87.662684,121.07,POINT (-87.662684 41.721214),71ST-ASHLAND: 12107 total violations,0.11857125690939678
11,75TH-STATE,37532,41.878246000000004,-87.624087,375.32,POINT (-87.624087 41.878246),75TH-STATE: 37532 total violations,0.37316750781062247
12,79TH-HALSTED,10991,41.749569,-87.721913,109.91,POINT (-87.721913 41.749569),79TH-HALSTED: 10991 total violations,0.10739605863975006
13,79TH-KEDZIE,7563,41.92398,-87.765989,75.63,POINT (-87.765989 41.92398),79TH-KEDZIE: 7563 total violations,0.0730693743491148
14,87TH-VINCENNES,35470,41.916128,-87.6678,354.7,POINT (-87.6678 41.916128),87TH-VINCENNES: 35470 total violations,0.3525194264199311
15,99TH-HALSTED,44133,41.758179999999996,-87.62475699999999,441.33,POINT (-87.62475699999999 41.75818),99TH-HALSTED: 44133 total violations,0.4392674036689898
16,ADDISON-HARLEM,9222,41.909886,-87.72633,92.22,POINT (-87.72633 41.909886),ADDISON-HARLEM: 9222 total violations,0.08968196747576704
17,ARCHER-CICERO,49781,41.902671000000005,-87.726303,497.81,POINT (-87.726303 41.90267100000001),ARCHER-CICERO: 49781 total violations,0.49582432107666424
18,ARCHER-NARRAGANSETT,3262,41.931139,-87.775966,32.62,POINT (-87.775966 41.931139),ARCHER-NARRAGANSETT: 3262 total violations,0.030000801089481693
19,ASHLAND-47TH,722,41.975688,-87.769261,7.22,POINT (-87.769261 41.975688),ASHLAND-47TH: 722 total violations,0.0045662100456621
20,ASHLAND-63RD,851,41.945877,-87.766754,8.51,POINT (-87.76675400000001 41.945877),ASHLAND-63RD: 851 total violations,0.0058579668348954575
21,ASHLAND-87TH,16098,41.889187,-87.632526,160.98,POINT (-87.632526 41.889187),ASHLAND-87TH: 16098 total violations,0.15853560842746134
22,ASHLAND-95TH,18764,41.909626,-87.746112,187.64,POINT (-87.746112 41.909626),ASHLAND-95TH: 18764 total violations,0.18523191540495074
23,ASHLAND-ARCHER,1988,41.952915999999995,-87.786558,19.88,POINT (-87.786558 41.95291599999999),ASHLAND-ARCHER: 1988 total violations,0.01724345109348714
24,ASHLAND-DIVERSEY,3329,41.968029,-87.74772,33.29,POINT (-87.74772 41.968029),ASHLAND-DIVERSEY: 3329 total violations,0.030671713530401344
25,ASHLAND-DIVISION,15544,41.923676,-87.785441,155.44,POINT (-87.78544100000001 41.923676),ASHLAND-DIVISION: 15544 total violations,0.15298806376672275
